Date	Venue	Location	Ignore
Jul 17, 2009	The Second City	Toronto, Canada	 I Was There
Jul 16, 2009	The Second City	Toronto, Canada	 I Was There
Jun 04, 2009	Roxy Theatre	Los Angeles, CA	 I Was There
May 09, 2009	Trocadero	Philadelphia, PA	 I Was There
Apr 11, 2009	Wilbur Theatre	Boston, MA	 I Was There
Mar 28, 2009	The Moore Theater-with KEANE	Seattle, WA	 I Was There
Mar 27, 2009	Aladdin Theater	Portland, OR	 I Was There
Nov 22, 2008	Victoria Works	Leeds, United Kingdom	 I Was There
Nov 22, 2008	Herbst Pavilion	San Francisco, CA	 I Was There
Oct 18, 2008	Cobb's Comedy Club	San Francisco, CA	 I Was There
Oct 17, 2008	Cobb's Comedy Club	San Francisco, CA	 I Was There
