Date	Venue	Location	Ignore
Aug 07, 2010	Bijou Theatre	Knoxville, TN	 I Was There
Aug 06, 2010	The Orange Peel	Asheville, NC	 I Was There
Jul 23, 2010	House of Blues San Diego	San Diego, CA	 I Was There
Jul 10, 2010	MAJESTIC THEATRE MADISON	Madison, WI	 I Was There
Jul 09, 2010	House of Blues Cleveland	Cleveland, OH	 I Was There
Feb 02, 2010	The Wiltern	Los Angeles, CA	 I Was There
Nov 07, 2009	Town Hall-NY	New York, NY	 I Was There	
Oct 10, 2009	Keswick Theatre	Glenside, PA	 I Was There
Oct 03, 2009	Boulder Theater	Boulder, CO	 I Was There
Oct 02, 2009	Congress Theater	Chicago, IL	 I Was There
Sep 19, 2009	Nob Hill Masonic Auditorium	San Francisco, CA	 I Was There
Sep 18, 2009	Moore Theatre	Seattle, WA	 I Was There
Sep 13, 2009	Newark Theatre	Portland, OR	 I Was There
Sep 12, 2009	State Theatre	Minneapolis, MN	 I Was There
Feb 28, 2009	Lisner Auditorium	Washington, DC	 I Was There
Feb 22, 2009	Carolines on Broadway	New York, NY	 I Was There
Feb 21, 2009	Carolines on Broadway	New York, NY	 I Was There
Feb 20, 2009	Carolines on Broadway	New York, NY	 I Was There
Feb 19, 2009	Carolines on Broadway	New York, NY	 I Was There
Feb 14, 2009	Tempe Improv	Tempe, AZ	 I Was There
Feb 13, 2009	Tempe Improv	Tempe, AZ	 I Was There
Feb 07, 2009	The Earl	Atlanta, GA	 I Was There
Feb 06, 2009	40 Watt Club	Athens, GA	 I Was There
Jan 31, 2009	Largo	Los Angeles, CA	 I Was There
Jan 27, 2009	Upright Citizens Brigade Theatre	Los Angeles, CA	 I Was There
Dec 31, 2008	Cobb's Comedy Club	San Francisco, CA	 I Was There
Dec 30, 2008	Cobb's Comedy Club	San Francisco, CA	 I Was There	
Dec 29, 2008	Cobb's Comedy Club	San Francisco, CA	 I Was There
Dec 28, 2008	Cobb's Comedy Club	San Francisco, CA	 I Was There
Dec 27, 2008	Cobb's Comedy Club	San Francisco, CA	 I Was There
Dec 26, 2008	Cobb's Comedy Club	San Francisco, CA	 I Was There
Dec 07, 2008	Bimbos 365 Club	San Francisco, CA	 I Was There
Dec 06, 2008	Wiltern Theatre	Los Angeles, CA	 I Was There
Dec 05, 2008	Belly Up Tavern	Solana Beach, CA	 I Was There
Sep 29, 2008	Largo at the Coronet Theatre	Los Angeles, CA	 I Was There
Sep 19, 2008	Kutshers Country Club & Resort	Monticello, MN	 I Was There
Sep 19, 2008	Kutsher's Country Club	Monticello, NY	 I Was There
Sep 06, 2008	The Moore Theater-with KEANE	Seattle, WA	 I Was There
Jul 11, 2008	The Moore Theater-with KEANE	Seattle, WA	 I Was There
Apr 20, 2008	Hollywood Improv	Los Angeles, CA	 I Was There
Apr 19, 2008	Troubadour	West Hollywood, CA	 I Was There
Dec 31, 2007	Cobb's Comedy Club	San Francisco, CA	 I Was There
Dec 30, 2007	Cobb's Comedy Club	San Francisco, CA	 I Was There
Dec 29, 2007	Cobb's Comedy Club	San Francisco, CA	 I Was There
Dec 28, 2007	Cobb's Comedy Club	San Francisco, CA	 I Was There
Dec 27, 2007	Cobb's Comedy Club	San Francisco, CA	 I Was There
Dec 05, 2007	el rey	Hollywood, CA	 I Was There	
Nov 30, 2007	Independent	San Francisco, CA	 I Was There
Nov 06, 2007	Buskirk-Chumley Theater	Bloomington, IN	 I Was There
Nov 05, 2007	Headliners Music Hall	Louisville, KY	 I Was There
Nov 04, 2007	Grog Shop	Cleveland, OH	 I Was There
Nov 03, 2007	University at Buffalo Alumni Arena	Amherst, NY	 I Was There
Nov 02, 2007	Blind Pig	Ann Arbor, MI	 I Was There
Nov 01, 2007	Vic Theatre	Chicago, IL	 I Was There
Oct 30, 2007	Mr.Smalls	Millvale, PA	 I Was There
Oct 28, 2007	The Fillmor	Philadelphia, PA	 I Was There
Oct 27, 2007	The Fillmore New York at Irving Plaza	New York, NY	 I Was There
Oct 26, 2007	Dickinson College	Carlisle, PA	 I Was There
Oct 25, 2007	Roxy Nightclub	Boston, MA	 I Was There
Oct 11, 2007	House of Blues	Las Vegas, NV	 I Was There
Oct 10, 2007	House of Blues	San Diego, CA	 I Was There
Oct 05, 2007	Roseland Theater	Portland, OR	 I Was There
Oct 03, 2007	Showbox at the Market	Seattle, WA	 I Was There
Jul 09, 2007	Chop Suey	Seattle, WA	 I Was There
Jun 19, 2007	Lakeshore Theater	Chicago, IL	 I Was There
