Date	Venue	Location	Ignore
Aug 06, 2011	Newport Yachting Center	Newport, RI	 I Was There
Aug 05, 2011	South Shore Music Circus	Cohasset, MA	 I Was There
Aug 04, 2011	Hampton Beach Casino Ballroom	Hampton Beach, NH	 I Was There
Jun 18, 2011	The Chicago Theatre	Chicago, IL	 I Was There
Apr 23, 2011	Borgata Casino Event Center	Atlantic City, NJ	 I Was There
Feb 25, 2011	Caroline's Comedy Club	New York, NY	 I Was There
Feb 24, 2011	Caroline's Comedy Club	New York, NY	 I Was There
Jan 03, 2011	Moore Theatre	Seattle, WA	 I Was There
Dec 12, 2010	Hard Rock	Orlando, FL	 I Was There
Dec 11, 2010	Cobb Energy Performing Arts Centre	Atlanta, GA	 I Was There
Dec 10, 2010	The Fillmore Miami Beach at Jackie Gleason Theater	Miami Beach, FL	 I Was There
Dec 09, 2010	Ferguson Hall	Tampa, FL	 I Was There
Dec 04, 2010	Balboa Theatre	San Diego, CA	 I Was There
Dec 02, 2010	Gibson Amph. At Univ. CityWalk	Universal City, CA	 I Was There
Nov 21, 2010	Bass Performance Hall	Fort Worth, TX	 I Was There
Nov 19, 2010	Paramount Theatre	Austin, TX	 I Was There
Nov 18, 2010	Verizon Wireless Theater	Houston, TX	 I Was There
Nov 14, 2010	Paramount Theatre	Denver, CO	 I Was There
Nov 13, 2010	Aladdin Theater	Portland, OR	 I Was There
Nov 12, 2010	Moore Theatre	Seattle, WA	 I Was There
Nov 07, 2010	Sovereign Perf. Arts Center	Reading, PA	 I Was There
Nov 06, 2010	Count Basie Theatre	Red Bank, NJ	 I Was There
Nov 05, 2010	Academy of Music	Philadelphia, PA	 I Was There
Nov 04, 2010	Carnegie Hall	New York, NY	 I Was There
Oct 23, 2010	Palace Theatre	Albany, NY	 I Was There
Oct 22, 2010	Warner Theatre	Washington, DC	 I Was There
Oct 21, 2010	Métropolis	Montreal, Canada	 I Was There
Oct 10, 2010	The Midland by AMC	Kansas City, MO	 I Was There
Oct 09, 2010	Riverside Casino & Golf Resort	Riverside, IA	 I Was There
Oct 08, 2010	Detroit Opera House	Detroit, MI	 I Was There
Oct 07, 2010	Murat Egyptian Room	Indianapolis, IN	 I Was There
Oct 03, 2010	PlayhouseSquare	Cleveland, OH	 I Was There
Oct 02, 2010	The Chicago Theatre	Chicago, IL	 I Was There
Oct 01, 2010	State Theatre	Minneapolis, MN	 I Was There
Sep 26, 2010	Wilbur Theatre	Boston, MA	 I Was There
Sep 25, 2010	Wilbur Theatre	Boston, MA	 I Was There
Sep 24, 2010	Wilbur Theatre	Boston, MA	 I Was There
Sep 23, 2010	Fox Theater	Ledyard, CT	 I Was There
Sep 19, 2010	Capitol Theater	Madison, WI	 I Was There
Sep 18, 2010	The Riverside Theater	Milwaukee, WI	 I Was There
Sep 17, 2010	Davies Hall	San Francisco, CA	 I Was There
Sep 09, 2010	Louise M. Davies Symphony Hall	San Francisco, CA	 I Was There
Aug 01, 2010	Newport Yachting Center	Newport, RI	 I Was There
Jul 31, 2010	Hampton Beach Casino Ballroom	Hampton Beach, NH	 I Was There
Jul 23, 2010	Zanies Comedy Club	Nashville, TN	 I Was There
Jan 02, 2010	Tempe Improv	Tempe, AZ	 I Was There
Jan 01, 2010	Tempe Improv	Tempe, AZ	 I Was There
Dec 31, 2009	Tempe Improv	Tempe, AZ	 I Was There
Oct 17, 2009	Vogue Theatre BC	Vancouver, Canada	 I Was There
Jul 05, 2009	Cape Cod Melody Tent	West Harwich, MA	 I Was There
Jul 04, 2009	Newport Yachting Center	Newport, RI	 I Was There
Jun 20, 2009	Theatre at Westbury	Westbury, NY	 I Was There
May 14, 2009	Shea's Performing Arts Center	Buffalo, NY	 I Was There
Apr 17, 2009	Royal Oak Music Theatre	Royal Oak, MI	 I Was There
Mar 28, 2009	Crest Theatre	Sacramento, CA	 I Was There
Mar 27, 2009	Wiltern Theatre	Los Angeles, CA	 I Was There
Mar 20, 2009	Hard Rock Live	Orlando, FL	 I Was There
Mar 19, 2009	Tampa Awards	Tampa, FL	 I Was There
Mar 14, 2009	Orpheum Theatre	Boston, MA	 I Was There
Mar 07, 2009	Higher Ground	Burlington, VT	 I Was There
Feb 28, 2009	Mississippi Moon	Dubuque, IA	 I Was There
Feb 27, 2009	Midland Theatre	Kansas City, MO	 I Was There
Feb 21, 2009	Merriam Theater	Philadelphia, PA	 I Was There
Feb 20, 2009	Count Basie Theatre	Red Bank, NJ	 I Was There
Feb 14, 2009	McDonald Theatre	Eugene, OR	 I Was There
Feb 07, 2009	Turning Stone Resort Casino Event Center	Verona, NY	 I Was There
Feb 06, 2009	The Egg	Albany, NY	 I Was There
Nov 22, 2008	Grand Opera House	Wilmington, DE	 I Was There
Nov 21, 2008	Warner Theatre	Washington, DC	 I Was There
Nov 15, 2008	Newark Theatre	Portland, OR	 I Was There
Nov 14, 2008	Vogue Theatre	Vancouver, Canada	 I Was There
Nov 08, 2008	Palace Theatre	Greensburg, PA	 I Was There
Nov 07, 2008	Capitol Theatre	Columbus, OH	 I Was There
Nov 06, 2008	Town Hall	New York, NY	 I Was There
Nov 01, 2008	Governor's	Levittown, PA	 I Was There
Oct 31, 2008	Governor's	Levittown, PA	 I Was There
Oct 24, 2008	Parker Playhouse	Fort Lauderdale, FL	 I Was There
Oct 18, 2008	Vic Theatre	Chicago, IL	 I Was There
Oct 17, 2008	The Pageant	St Louis, MO	 I Was There
Oct 16, 2008	Music Mill	Indianapolis, IN	 I Was There
Oct 11, 2008	Borgata	Atlantic City, NJ	 I Was There
Oct 10, 2008	Grand Valley State University	Allendale, MI	 I Was There
Oct 09, 2008	Wharton Center	East Lansing, MI	 I Was There
Oct 07, 2008	The Pageant	St Louis, MO	 I Was There
Oct 04, 2008	Wilbur Theatre	Boston, MA	 I Was There
Oct 03, 2008	Bergen Performing Arts Center	Englewood, NJ	 I Was There
Sep 28, 2008	Largo at the Coronet Theatre	Los Angeles, CA	 I Was There
Sep 27, 2008	HARDROCK	Las Vegas, NV	 I Was There
Sep 27, 2008	The Joint Las Vegas, NV	Las Vegas, NV	 I Was There
Sep 26, 2008	Orpheum Theatre	Phoenix, AZ	 I Was There
Sep 20, 2008	Hampton Beach Casino Ballroom	Hampton Beach, NH	 I Was There
Sep 20, 2008	Hampton Beach Casino Ballroom	Hampton Beach, FL	 I Was There
Sep 19, 2008	The Tabernacle	Atlanta, GA	 I Was There
Sep 12, 2008	University Of Richmond	Richmond, VA	 I Was There
Sep 06, 2008	Punch Line SF	San Francisco, CA	 I Was There
Sep 05, 2008	Punch Line SF	San Francisco, CA	 I Was There
Sep 04, 2008	Punch Line SF	San Francisco, CA	 I Was There
Sep 03, 2008	Punch Line SF	San Francisco, CA	 I Was There
Sep 01, 2008	Largo at the Coronet Theatre	Los Angeles, CA	 I Was There
Aug 24, 2008	Göta Lejon	Stockholm, Sweden	 I Was There
Aug 23, 2008	Arts Theatre	London, United Kingdom	 I Was There
Aug 22, 2008	Arts Theatre	London, United Kingdom	 I Was There
Aug 21, 2008	Arts Theatre	London, United Kingdom	 I Was There
Aug 20, 2008	Arts Theatre	London, United Kingdom	 I Was There
Aug 19, 2008	Arts Theatre	London, United Kingdom	 I Was There
Aug 16, 2008	Pleasance Bar	Edinburgh, United Kingdom	 I Was There
Aug 15, 2008	Pleasance Bar	Edinburgh, United Kingdom	 I Was There
Aug 08, 2008	Arts Theatre	London, United Kingdom	 I Was There
Aug 07, 2008	Arts Theatre	London, United Kingdom	 I Was There
Aug 06, 2008	Arts Theatre	London, United Kingdom	 I Was There
Aug 05, 2008	Arts Theatre	London, United Kingdom	 I Was There
Aug 02, 2008	Arts Theatre	London, United Kingdom	 I Was There
Aug 01, 2008	Arts Theatre	London, United Kingdom	 I Was There
Jul 31, 2008	Arts Theatre	London, United Kingdom	 I Was There
Jul 30, 2008	Arts Theatre	London, United Kingdom	 I Was There
Jul 29, 2008	Arts Theatre	London, United Kingdom	 I Was There
Jul 27, 2008	Comedy Factory	Dublin, Ireland	 I Was There
Jul 20, 2008	Sunset Festival	Newport, RI	 I Was There
Jun 15, 2008	Bonnaroo Music Festival	Manchester, TN	 I Was There
Jun 14, 2008	Bonnaroo Music Festival	Manchester, TN	 I Was There
Apr 26, 2008	Keswick Theatre	Glenside, PA	 I Was There
Apr 05, 2008	House of Blues Dallas	Dallas, TX	 I Was There
Apr 04, 2008	Paramount Theatre	Austin, TX	 I Was There
Jan 16, 2008	Lincoln Theatre	Miami Beach, FL	 I Was There
Dec 15, 2007	Penguins Comedy Club / Nan's Piano Bar	Davenport, IA	 I Was There
Dec 14, 2007	Penguins Comedy Club / Nan's Piano Bar	Davenport, IA	 I Was There
Dec 13, 2007	Penguin's Comedy Club	Cedar Rapids, IA	 I Was There
Nov 16, 2007	Comedy Connection-MA	Boston, MA	 I Was There
Nov 15, 2007	Kowloon	Saugus, MA	 I Was There
Nov 10, 2007	The Moore Theater-with KEANE	Seattle, WA	 I Was There
Nov 09, 2007	Aladdin Theater	Portland, OR	 I Was There
Nov 08, 2007	Town Hall	New York, NY	 I Was There
Nov 03, 2007	Coach House	San Juan Capistrano, CA	 I Was There
Nov 03, 2007	Canyon Club	Agoura Hills, CA	 I Was There
Nov 02, 2007	Coach House	San Juan Capistrano, CA	 I Was There
Oct 27, 2007	Calvin Theatre	Northampton, MA	 I Was There
Oct 19, 2007	Borgata Hotel, Casino & Spa	Atlantic City, NJ	 I Was There
