Date	Venue	Location	Ignore
Apr 27, 2014	Largo at the Coronet	Los Angeles, CA	 I Was There
Mar 11, 2014	Carnegie Music Hall of Oakland	Pittsburgh, PA	 I Was There
Aug 17, 2013	Castro Theatre	San Francisco, CA	 I Was There
May 03, 2013	Aladdin Theater	Portland, OR	 I Was There
Apr 26, 2013	Boulder Theater	Boulder, CO	 I Was There
Mar 02, 2013	Varsity Theater	Minneapolis, MN	 I Was There
Feb 05, 2013	The Slipper Room	New York, NY	 I Was There
Dec 02, 2012	Starlite Theatre at Riviera Hotel & Casino	Las Vegas, NV	 I Was There
Dec 01, 2012	Starlite Theatre at Riviera Hotel & Casino	Las Vegas, NV	 I Was There
Nov 30, 2012	Starlite Theatre at Riviera Hotel & Casino	Las Vegas, NV	 I Was There
Oct 06, 2012	Rex Theater	Pittsburgh, PA	 I Was There	
Oct 05, 2012	MAJESTIC THEATRE MADISON	Madison, WI	 I Was There
Oct 04, 2012	Varsity Theater	Minneapolis, MN	 I Was There
Jun 07, 2012	Great Stage Park	Manchester, TN	 I Was There
Nov 05, 2011	Varsity Theater	Minneapolis, MN	 I Was There
Oct 21, 2011	Great Scott	Allston, MA	 I Was There
Oct 01, 2011	Maxwell's	Hoboken, NJ	 I Was There
Aug 20, 2011	Knitting Factory Bklyn	Brooklyn, NY	 I Was There
Apr 25, 2011	Littefield	Brooklyn, NY	 I Was There
Feb 28, 2011	SUNY Utica	Utica, NY	 I Was There
Jan 22, 2011	Comedy Works	Denver, CO	 I Was There
Jan 21, 2011	Comedy Works	Denver, CO	 I Was There
Jan 20, 2011	Comedy Works	Denver, CO	 I Was There
Dec 19, 2010	The Improv	Fort Lauderdale, FL	 I Was There
Dec 18, 2010	The Improv	Fort Lauderdale, FL	 I Was There
Dec 17, 2010	The Improv	Fort Lauderdale, FL	 I Was There
Dec 16, 2010	The Improv	Fort Lauderdale, FL	 I Was There
Dec 11, 2010	Helium Comedy Club	Portland, OR	 I Was There
Dec 10, 2010	Helium Comedy Club	Portland, OR	 I Was There
Dec 09, 2010	Helium Comedy Club	Portland, OR	 I Was There
Sep 22, 2010	Pipeline Cafe	Honolulu, HI	 I Was There	
May 19, 2010	Punch Line Comedy Club	San Francisco, CA	 I Was There
May 18, 2010	Punch Line Comedy Club	San Francisco, CA	 I Was There
Apr 30, 2010	Univ. of Wisc. / Platteville	Platteville, WI	 I Was There
Apr 29, 2010	Truman State University	Kirksville, MO	 I Was There
Apr 27, 2010	Univ. of North Carolina / Chapel Hill	Chapel Hill, NC	 I Was There
Dec 31, 2009	Palace of Fine Arts	San Francisco, CA	 I Was There
Jul 29, 2009	Punch Line Comedy Club	San Francisco, CA	 I Was There
Jul 28, 2009	Punch Line Comedy Club	San Francisco, CA	 I Was There
