Date	Venue	Location	Ignore
Mar 06, 2010	Kingsbury Hall	Salt Lake City, UT	 I Was There
Dec 12, 2009	Lakewood Civic Auditorium	Lakewood, OH	 I Was There
Dec 11, 2009	Progress Energy Center Meymandi Concert Hall	Raleigh, NC	 I Was There
Nov 19, 2009	Center for the Arts	Buffalo, NY	 I Was There
Nov 14, 2009	The Egg	Albany, NY	 I Was There
Nov 13, 2009	Capitol Theatre	Columbus, OH	 I Was There
Oct 24, 2009	The Fillmore Detroit	Detroit, MI	 I Was There
Oct 17, 2009	Orpheum Theatre	Boston, MA	 I Was There
Oct 16, 2009	Center for the Arts	Amherst, NY	 I Was There
Oct 10, 2009	Murat Theatre at Old National Centre	Indianapolis, IN	 I Was There
Oct 09, 2009	Lakewood Civic Auditorium	Lakewood, OH	 I Was There
Oct 03, 2009	Warner Theatre	Washington, DC	 I Was There
Oct 02, 2009	Progress Energy Center Meymandi Concert Hall	Raleigh, NC	 I Was There
Sep 25, 2009	Majestic Theatre	Dallas, TX	 I Was There
Sep 19, 2009	Pala Casino	Pala, CA	 I Was There
Aug 22, 2009	Cobb's Comedy Club	San Francisco, CA	 I Was There
Aug 21, 2009	Cobb's Comedy Club	San Francisco, CA	 I Was There
Aug 20, 2009	Cobb's Comedy Club	San Francisco, CA	 I Was There
Jul 25, 2009	Music Box at the Borgata	Atlantic City, NJ	 I Was There
Jun 14, 2009	Cobb's Comedy Club	San Francisco, CA	 I Was There
Jun 13, 2009	Cobb's Comedy Club	San Francisco, CA	 I Was There
Jun 12, 2009	Cobb's Comedy Club	San Francisco, CA	 I Was There
Jun 11, 2009	Cobb's Comedy Club	San Francisco, CA	 I Was There
May 09, 2009	The Moore Theater-with KEANE	Seattle, WA	 I Was There
May 02, 2009	Silver Legacy Casino	Reno, NV	 I Was There
Apr 25, 2009	Pantages Theatre	Minneapolis, MN	 I Was There
Apr 24, 2009	Congress Theater	Chicago, IL	 I Was There
Apr 23, 2009	Uptown Theater	Kansas City, MO	 I Was There
Mar 27, 2009	House of Blues	Las Vegas, NV	 I Was There
Mar 21, 2009	New York Hall of Science	New York, NY	 I Was There
Feb 21, 2009	Paramount Theatre	Denver, CO	 I Was There
Jan 23, 2009	Lincoln Theatre	Miami Beach, FL	 I Was There
Dec 12, 2008	The Bronze Peacock at House of Blues Houston	Houston, TX	 I Was There
Nov 15, 2008	Crest Theatre	Sacramento, CA	 I Was There
Nov 08, 2008	Celebrity Theatre	Phoenix, AZ	 I Was There
Nov 07, 2008	McDonald Theatre	Eugene, OR	 I Was There
Oct 25, 2008	Tower Theatre	Upper Darby, PA	 I Was There
Oct 24, 2008	The Tabernacle	Atlanta, GA	 I Was There
Oct 18, 2008	The Pageant	St Louis, MO	 I Was There
Oct 17, 2008	State Theatre	New Brunswick, NJ	 I Was There
Oct 11, 2008	State Theatre, Kalamazoo	Kalamazoo, MI	 I Was There
Oct 10, 2008	Michigan Theater	Ann Arbor, MI	 I Was There
Sep 27, 2008	Palace of Fine Arts	San Francisco, CA	 I Was There
Sep 20, 2008	The State Theatre	Ithaca, NY	 I Was There
Aug 24, 2008	Goodnights	Raleigh, NC	 I Was There
Aug 23, 2008	Goodnights	Raleigh, NC	 I Was There
Aug 22, 2008	Goodnights	Raleigh, NC	 I Was There
Aug 10, 2008	Zanies Comedy Club	Nashville, TN	 I Was There
Aug 09, 2008	Zanies Comedy Club	Nashville, TN	 I Was There
Aug 08, 2008	Zanies Comedy Club	Nashville, TN	 I Was There
Jul 20, 2008	The Improv	Brea, CA	 I Was There
Jul 19, 2008	The Improv	Brea, CA	 I Was There
Jul 18, 2008	The Improv	Brea, CA	 I Was There
Jul 17, 2008	The Improv	Brea, CA	 I Was There
Jul 13, 2008	Funny Bone	Columbus, OH	 I Was There
Jul 12, 2008	Funny Bone	Columbus, OH	 I Was There
Jul 11, 2008	Funny Bone	Columbus, OH	 I Was There
Jun 27, 2008	Borgata Hotel, Casino & Spa	Atlantic City, NJ	 I Was There
Jun 01, 2008	Gotham Comedy Club	New York, NY	 I Was There
May 31, 2008	Gotham Comedy Club	New York, NY	 I Was There
May 30, 2008	Gotham Comedy Club	New York, NY	 I Was There
May 29, 2008	Gotham Comedy Club	New York, NY	 I Was There
May 10, 2008	House of Blues	Las Vegas, NV	 I Was There
Apr 18, 2008	Spreckels Theatre	San Diego, CA	 I Was There
Apr 11, 2008	University of Utah Olpin Union	Salt Lake City, UT	 I Was There
Apr 08, 2008	Missouri State University	Springfield, MO	 I Was There
Apr 05, 2008	Ferguson Hall	Tampa, FL	 I Was There
Apr 04, 2008	The Rococo Theatre	Lincoln, NE	 I Was There
Apr 03, 2008	Liberty Hall	Lawrence, KS	 I Was There
Mar 29, 2008	House of Blues Dallas	Dallas, TX	 I Was There
Mar 28, 2008	Paramount Theatre	Austin, TX	 I Was There
Feb 16, 2008	Lisner Auditorium	Washington, DC	 I Was There
