Date	Venue	Location	Ignore
Aug 12, 2011	Gathering of the Juggalos	Cave In Rock, IL	 I Was There
Aug 06, 2011	NEPTUNE THEATER	Seattle, WA	 I Was There
Aug 05, 2011	BING CROSBY THEATER	Spokane, WA	 I Was There
Jul 16, 2011	Jukebox Comedy Club	Peoria, IL	 I Was There
Jul 16, 2011	Jukebox Comedy Club	Peoria, IL	 I Was There
Jul 15, 2011	Jukebox Comedy Club	Peoria, IL	 I Was There
Jul 15, 2011	Jukebox Comedy Club	Peoria, IL	 I Was There
Jul 14, 2011	Jukebox Comedy Club	Peoria, IL	 I Was There
Jul 09, 2011	Magic Bag	Detroit, MI	 I Was There
Jul 04, 2011	Durer Kert	Budapest, Hungary	 I Was There
Jun 13, 2011	Pancho's	Chicago, IL	 I Was There
May 22, 2011	Columbus Funny Bone	Columbus, OH	 I Was There
May 21, 2011	Columbus Funny Bone	Columbus, OH	 I Was There
May 20, 2011	Columbus Funny Bone	Columbus, OH	 I Was There
Apr 15, 2011	Crowbar	Tampa, FL	 I Was There
Apr 14, 2011	Back Booth	Orlando, FL	 I Was There
Apr 13, 2011	Common Grounds	Gainesville, FL	 I Was There
Feb 26, 2011	Machine Shop	Flint, MI	 I Was There
Feb 25, 2011	McGuffy's House of Rock	Dayton, OH	 I Was There
Dec 04, 2010	Funny Bone	Bloomington, IN	 I Was There
Dec 03, 2010	Funny Bone	Bloomington, IN	 I Was There
Dec 02, 2010	Funny Bone	Bloomington, IN	 I Was There
Nov 19, 2010	Ottobar	Baltimore, MD	 I Was There
Oct 23, 2010	Cinema	Toronto, Canada	 I Was There
Oct 22, 2010	Higher Ground	Burlington, VT	 I Was There
Oct 16, 2010	Comix	New York, NY	 I Was There
Oct 15, 2010	Comix	New York, NY	 I Was There
Oct 02, 2010	The Orange Peel	Asheville, NC	 I Was There
Aug 07, 2010	Red 7	Austin, TX	 I Was There
Aug 03, 2010	Leceister Square Theatre	London, United Kingdom	 I Was There
May 22, 2010	Dr. Grins Comedy Club	Grand Rapids, MI	 I Was There
May 21, 2010	Dr. Grins Comedy Club	Grand Rapids, MI	 I Was There
May 20, 2010	Dr. Grins Comedy Club	Grand Rapids, MI	 I Was There
Apr 13, 2010	Back Booth	Orlando, FL	 I Was There
Mar 07, 2010	Cobb's Comedy Club	San Francisco, CA	 I Was There
Mar 06, 2010	Cobb's Comedy Club	San Francisco, CA	 I Was There
Mar 05, 2010	Cobb's Comedy Club	San Francisco, CA	 I Was There
Mar 04, 2010	Cobb's Comedy Club	San Francisco, CA	 I Was There
Nov 15, 2009	Punch Line Comedy Club	Sacramento, CA	 I Was There
Nov 14, 2009	Punch Line Comedy Club	Sacramento, CA	 I Was There
Nov 13, 2009	Punch Line Comedy Club	Sacramento, CA	 I Was There
Aug 16, 2009	Cobb's Comedy Club	San Francisco, CA	 I Was There
Aug 15, 2009	Cobb's Comedy Club	San Francisco, CA	 I Was There
Aug 14, 2009	Cobb's Comedy Club	San Francisco, CA	 I Was There
Aug 13, 2009	Cobb's Comedy Club	San Francisco, CA	 I Was There
Jul 24, 2009	Balboa Theatre	San Diego, CA	 I Was There
Dec 31, 2008	Palace of Fine Arts	San Francisco, CA	 I Was There
Nov 21, 2008	Club Nokia	Los Angeles, CA	 I Was There
Oct 31, 2008	The Moore Theater-with KEANE	Seattle, WA	 I Was There
Oct 11, 2008	40 Watt Club	Athens, Greece	 I Was There
Jul 19, 2008	Shoreline Amphitheatre	Mountain View, CA	 I Was There
Jun 15, 2008	Bonnaroo Music Festival	Manchester, TN	 I Was There
Jun 14, 2008	Bonnaroo Music Festival	Manchester, TN	 I Was There
Nov 30, 2007	Independent	San Francisco, CA	 I Was There
Nov 06, 2007	Buskirk-Chumley Theater	Bloomington, IN	 I Was There
Nov 05, 2007	Headliners Music Hall	Louisville, KY	 I Was There
Nov 04, 2007	Grog Shop	Cleveland, OH	 I Was There
Nov 03, 2007	University at Buffalo Alumni Arena	Amherst, NY	 I Was There
Nov 02, 2007	Blind Pig	Ann Arbor, MI	 I Was There
Nov 01, 2007	Vic Theatre	Chicago, IL	 I Was There
Oct 30, 2007	Mr.Smalls	Millvale, PA	 I Was There
Oct 28, 2007	The Fillmor	Philadelphia, PA	 I Was There
Oct 27, 2007	The Fillmore New York at Irving Plaza	New York, NY	 I Was There
Oct 26, 2007	Dickinson College	Carlisle, PA	 I Was There
Oct 25, 2007	Roxy Nightclub	Boston, MA	 I Was There
Oct 11, 2007	House of Blues	Las Vegas, NV	 I Was There
Oct 10, 2007	House of Blues	San Diego, CA	 I Was There
Oct 05, 2007	Roseland Theater	Portland, OR	 I Was There
Oct 03, 2007	Showbox at the Market	Seattle, WA	 I Was There
