Date	Venue	Location	Ignore
Nov 29, 2008	Town Hall	New York, NY	 I Was There
Nov 28, 2008	Town Hall	New York, NY	 I Was There
Nov 26, 2008	Town Hall	New York, NY	 I Was There
Nov 23, 2008	Berklee Performance Center	Boston, MA	 I Was There
Nov 22, 2008	Berklee Performance Center	Boston, MA	 I Was There
Nov 21, 2008	Berklee Performance Center	Boston, MA	 I Was There
Nov 20, 2008	Wilbur Theatre	Boston, MA	 I Was There
Nov 08, 2008	Wiltern Theatre	Los Angeles, CA	 I Was There
Nov 07, 2008	The Warfield	San Francisco, CA	 I Was There
Oct 11, 2008	Omaha Music Hall	Omaha, NE	 I Was There
Oct 10, 2008	The Buell Theatre	Denver, CO	 I Was There
Oct 04, 2008	Univ. Of Connecticut	Storrs, CT	 I Was There
Oct 03, 2008	Littlejohn Coliseum	Clemson, SC	 I Was There
Oct 02, 2008	EJ Nutter Center	Dayton, OH	 I Was There
Oct 01, 2008	Keith Albee Theater	Huntington, WV	 I Was There
Sep 27, 2008	FABULOUS FOX THEATRE	St Louis, MO	 I Was There
Sep 26, 2008	Midland Theatre	Kansas City, MO	 I Was There
Sep 20, 2008	Cobb Energy Performing Arts Centre	Atlanta, GA	 I Was There
Sep 19, 2008	Alabama Theatre	Birmingham, AL	 I Was There
Sep 13, 2008	Dodge Theatre	Phoenix, AZ	 I Was There
Sep 12, 2008	The Morrison Center	Boise, ID	 I Was There
Aug 23, 2008	Star Plaza Theatre	Merrillville, IN	 I Was There
Aug 22, 2008	Genesee Theatre	Waukegan, IL	 I Was There
Aug 16, 2008	Ruth Eckerd Hall	Clearwater, FL	 I Was There
Aug 15, 2008	The Fillmore Miami Beach at Jackie Gleason Theater	Miami Beach, FL	 I Was There
Jul 26, 2008	Reno Events Center	Reno, NV	 I Was There
Jul 26, 2008	Reno Ballroom	Reno, NV	 I Was There
Jul 26, 2008	TBA	Reno, NV	 I Was There
Jul 25, 2008	Mandalay Bay	Las Vegas, NV	 I Was There
Jul 19, 2008	North Charleston Coliseum	North Charleston, SC	 I Was There
Jul 18, 2008	Richmond's Landmark Theatre	Richmond, VA	 I Was There
Jul 12, 2008	Rose State College Performing Arts Center	Oklahoma City, OK	 I Was There
Jul 11, 2008	Brady Theatre	Tulsa, OK	 I Was There
Apr 19, 2008	W. New England College	Springfield, MA	 I Was There
