word,n,name,rf
accent,4,Amy Schumer,0.001034393586759762
alive,4,Amy Schumer,0.001034393586759762
apollo,4,Amy Schumer,0.001034393586759762
birth,4,Amy Schumer,0.001034393586759762
bitches,4,Amy Schumer,0.001034393586759762
black,4,Amy Schumer,0.001034393586759762
born,4,Amy Schumer,0.001034393586759762
bradley,4,Amy Schumer,0.001034393586759762
butter,4,Amy Schumer,0.001034393586759762
check,4,Amy Schumer,0.001034393586759762
comic,4,Amy Schumer,0.001034393586759762
coming,4,Amy Schumer,0.001034393586759762
contestant,4,Amy Schumer,0.001034393586759762
conversation,4,Amy Schumer,0.001034393586759762
cunt,4,Amy Schumer,0.001034393586759762
cuz,4,Amy Schumer,0.001034393586759762
dare,4,Amy Schumer,0.001034393586759762
date,4,Amy Schumer,0.001034393586759762
deal,4,Amy Schumer,0.001034393586759762
dinner,4,Amy Schumer,0.001034393586759762
easy,4,Amy Schumer,0.001034393586759762
ehh,4,Amy Schumer,0.001034393586759762
event,4,Amy Schumer,0.001034393586759762
eyes,4,Amy Schumer,0.001034393586759762
famous,4,Amy Schumer,0.001034393586759762
favorite,4,Amy Schumer,0.001034393586759762
fish,4,Amy Schumer,0.001034393586759762
front,4,Amy Schumer,0.001034393586759762
girlfriend,4,Amy Schumer,0.001034393586759762
giving,4,Amy Schumer,0.001034393586759762
grew,4,Amy Schumer,0.001034393586759762
happened,4,Amy Schumer,0.001034393586759762
harder,4,Amy Schumer,0.001034393586759762
hole,4,Amy Schumer,0.001034393586759762
huh,4,Amy Schumer,0.001034393586759762
hungry,4,Amy Schumer,0.001034393586759762
hurt,4,Amy Schumer,0.001034393586759762
ill,4,Amy Schumer,0.001034393586759762
insane,4,Amy Schumer,0.001034393586759762
isn,4,Amy Schumer,0.001034393586759762
job,4,Amy Schumer,0.001034393586759762
kids,4,Amy Schumer,0.001034393586759762
ladies,4,Amy Schumer,0.001034393586759762
leave,4,Amy Schumer,0.001034393586759762
left,4,Amy Schumer,0.001034393586759762
legs,4,Amy Schumer,0.001034393586759762
mad,4,Amy Schumer,0.001034393586759762
malala,4,Amy Schumer,0.001034393586759762
mentally,4,Amy Schumer,0.001034393586759762
money,4,Amy Schumer,0.001034393586759762
motherfuckers,4,Amy Schumer,0.001034393586759762
pill,4,Amy Schumer,0.001034393586759762
play,4,Amy Schumer,0.001034393586759762
pregnant,4,Amy Schumer,0.001034393586759762
read,4,Amy Schumer,0.001034393586759762
reading,4,Amy Schumer,0.001034393586759762
road,4,Amy Schumer,0.001034393586759762
